ioc_type,value,vt_malicious,vt_suspicious,vt_total_engines,risk_level,malware_family,country,tags
domain,fmh-corp.org,9,0,94,high,,,
domain,fnqynt.codesandbox.io,3,0,94,medium,,,
domain,forbedentallab.com,8,0,94,high,,,
domain,fr-ggori.xyz,10,1,94,critical,,,dga
domain,friendsofc-online.com,6,0,94,high,,,
domain,frontofflcce.com,8,0,94,high,,,dga
domain,fulier.ca,9,0,94,high,,,
domain,galatachemicals.net,10,0,94,critical,,,
domain,garefl.com,10,0,94,critical,,,
domain,gassentec.com,6,0,94,high,,,
domain,gatewaytubular.com,5,0,94,high,,,
domain,genevainn.org,5,0,94,high,,,
domain,gennfed.com,8,0,94,high,,,
domain,ghllamak.com,3,0,94,medium,,,
domain,ghvgghjjhbhbhb.com,3,0,94,medium,,,dga
domain,gianjet.com,4,0,94,medium,,,
domain,gimc-cocktail.com,2,0,94,medium,,,
domain,girvlnassoc.net,5,0,94,high,,,dga
domain,goarnstrong.com,5,0,94,high,,,
domain,graycardinal.ca,4,0,94,medium,,,
domain,greatwauecom.com,7,0,94,high,,,dga
domain,greenstalkholding.com,6,0,94,high,,,
domain,gsokoauyilpoi.com,12,0,94,critical,,,
domain,gspwii.com,3,0,94,medium,,,
domain,guardanthealths.com,9,0,94,high,,,
domain,hafe1e.com,3,0,94,medium,,,dga
domain,haglaegis.com,5,0,94,high,,,
domain,halalog.com,11,0,94,critical,,,
domain,halesjewelers.org,10,0,94,critical,,,
domain,harvestclhurchba.com,0,0,0,unknown,,,
domain,hasseco.co,0,0,0,unknown,,,
domain,hawaiianpr0p.com,0,0,0,unknown,,,
domain,hcisystem.net,0,0,0,unknown,,,
domain,healths-law.com,0,0,0,unknown,,,
domain,heibraunievey.com,0,0,0,unknown,,,
domain,hgjvdfvfh.com,0,0,0,unknown,,,
domain,hhppny.com,0,0,0,unknown,,,
domain,hidefsurveying.info,0,0,0,unknown,,,
domain,hjdlsksfhhn.com,0,0,0,unknown,,,
domain,hjfsty.codesandbox.io,0,0,0,unknown,,,
domain,hokualakavai.com,0,0,0,unknown,,,
domain,holder-fcl.com,0,0,0,unknown,,,
domain,horizonholdlngs.com,0,0,0,unknown,,,
domain,horstandgrabenwealth.xyz,0,0,0,unknown,,,
domain,hsshd729s.com,0,0,0,unknown,,,
domain,huguhsings.com,0,0,0,unknown,,,
domain,iaunchfinance.com,0,0,0,unknown,,,
domain,imperialprecision.org,0,0,0,unknown,,,
domain,inboxmainchil.com,0,0,0,unknown,,,
domain,infokeysinc-mlcrosoftpasswdd.com,0,0,0,unknown,,,
domain,infomicrosoft.net,0,0,0,unknown,,,
domain,innfinancial.net,0,0,0,unknown,,,
domain,insaertab.com,0,0,0,unknown,,,
domain,instagzone.com,0,0,0,unknown,,,
domain,intrepidpotashs.com,0,0,0,unknown,,,
domain,ireataeoronlineecergynewnote.xyz,0,0,0,unknown,,,
domain,isccontractings.com,0,0,0,unknown,,,
domain,ispschools.co,0,0,0,unknown,,,
domain,itsonlinewiththefileofficeofficial.xyz,0,0,0,unknown,,,
domain,iukygt98yu09i8iuy908iuy908iuytrgfh67.com,0,0,0,unknown,,,
domain,iz8ieq.codesandbox.io,0,0,0,unknown,,,
domain,j3buwf.codesandbox.io,0,0,0,unknown,,,
domain,jkvpu5.codesandbox.io,0,0,0,unknown,,,
domain,jsptsenergy.com,0,0,0,unknown,,,
domain,jukiyq.com,0,0,0,unknown,,,
domain,k54431.codesandbox.io,0,0,0,unknown,,,
domain,k8zngr.codesandbox.io,0,0,0,unknown,,,
domain,kathisp.com,0,0,0,unknown,,,
domain,kbnoffice.com,0,0,0,unknown,,,
domain,keep356fgfhgutryt.com,0,0,0,unknown,,,
domain,keepsettingsinfoanon.com,0,0,0,unknown,,,
domain,kg4pxm.codesandbox.io,0,0,0,unknown,,,
domain,kickte.com,0,0,0,unknown,,,
domain,kiymanfinancial.com,0,0,0,unknown,,,
domain,kj4brvghvjk.com,0,0,0,unknown,,,
domain,kleinfalder.com,0,0,0,unknown,,,
domain,klimateshield.net,0,0,0,unknown,,,
domain,knyjbio.com,0,0,0,unknown,,,
domain,koc-tr.com,0,0,0,unknown,,,
domain,ktorresrray.com,0,0,0,unknown,,,
domain,kupolae.com,0,0,0,unknown,,,
domain,kushyedhfman.com,0,0,0,unknown,,,
domain,lakrvsm.com,0,0,0,unknown,,,
domain,lanckstele.com,0,0,0,unknown,,,
domain,lang-cq.com,0,0,0,unknown,,,
domain,leedseng.com,0,0,0,unknown,,,
domain,levaelld.com,0,0,0,unknown,,,
domain,lfiliumination.com,0,0,0,unknown,,,
domain,lifetechrned.com,0,0,0,unknown,,,
domain,litechcking.xyz,0,0,0,unknown,,,
domain,lityrest.com,0,0,0,unknown,,,
domain,liwsupply.com,0,0,0,unknown,,,
domain,lkhgfghccghgh366555.com,0,0,0,unknown,,,
domain,lmscorp-us.com,0,0,0,unknown,,,
domain,lnstream.net,0,0,0,unknown,,,
domain,lntrecash.com,0,0,0,unknown,,,
domain,logindri-veshare.live,0,0,0,unknown,,,
domain,loginmicrossft.co,0,0,0,unknown,,,
domain,logsettingsforlog.com,0,0,0,unknown,,,
domain,lointree.com,0,0,0,unknown,,,
domain,longetivity.co.uk,0,0,0,unknown,,,
domain,lq1nq3.codesandbox.io,0,0,0,unknown,,,
domain,m0367d6378b355472d879736b7350.live,0,0,0,unknown,,,
domain,m0autthxxd47.com,0,0,0,unknown,,,
domain,mabdhufbwkshudgvhu.com,0,0,0,unknown,,,
domain,madasmaneudonedeo.com,0,0,0,unknown,,,
domain,mailpasswordexpiry-reminder.com,0,0,0,unknown,,,
domain,mailscancache.com,0,0,0,unknown,,,
domain,mailstoragenoticeonline.com,0,0,0,unknown,,,
domain,makairalandscaqe.com,0,0,0,unknown,,,
domain,managementlocks.com,0,0,0,unknown,,,
domain,mandnsjeyrusmskbdv.com,0,0,0,unknown,,,
domain,mansoolsnsjwuajshd.com,0,0,0,unknown,,,
domain,mapdatew.com,0,0,0,unknown,,,
domain,marshwestin.com,0,0,0,unknown,,,
domain,marynellmalonyelawfirm.com,0,0,0,unknown,,,
domain,mashcapyusu.org,0,0,0,unknown,,,
domain,mashroecy.com,0,0,0,unknown,,,
domain,maxismstaffing.com,0,0,0,unknown,,,
domain,mcrosftpasswd-activity.com,0,0,0,unknown,,,
domain,meqal-secure.com,0,0,0,unknown,,,
domain,merrakii.com,0,0,0,unknown,,,
domain,messageallianceclue.com,0,0,0,unknown,,,
domain,mhkspartners.com,0,0,0,unknown,,,
domain,miccrosoftttoficee365.com,0,0,0,unknown,,,
domain,miccrrosoftsecure.com,0,0,0,unknown,,,
domain,microtki.com,0,0,0,unknown,,,
domain,mindfulbirthnj.com,0,0,0,unknown,,,
domain,mirevabalika.xyz,0,0,0,unknown,,,
domain,mllklabor.org,0,0,0,unknown,,,
domain,mlly.xyz,0,0,0,unknown,,,
domain,moralibbx.xyz,0,0,0,unknown,,,
domain,morent.co,0,0,0,unknown,,,
domain,moreoff376.com,0,0,0,unknown,,,
domain,morrisonheshfield.com,0,0,0,unknown,,,
domain,mrecateoronlineecergynewnote.xyz,0,0,0,unknown,,,
domain,mservcfrduud.com,0,0,0,unknown,,,
domain,mslawtc.com,0,0,0,unknown,,,
domain,mso-10.com,0,0,0,unknown,,,
domain,mso-4.com,0,0,0,unknown,,,
domain,mso-6.com,0,0,0,unknown,,,
domain,msokool.com,0,0,0,unknown,,,
domain,msonline.club,0,0,0,unknown,,,
domain,mssoleop.com,0,0,0,unknown,,,
domain,mvis9x.codesandbox.io,0,0,0,unknown,,,
domain,mxfdsam3new.com,0,0,0,unknown,,,
domain,mypage-corporate.com,0,0,0,unknown,,,
domain,myplos.com,0,0,0,unknown,,,
domain,nailbur.com,0,0,0,unknown,,,
domain,nanbhx.com,0,0,0,unknown,,,
domain,nce-sg.com,0,0,0,unknown,,,
domain,netcapittal.com,0,0,0,unknown,,,
domain,newmanregencytransmission.com,0,0,0,unknown,,,
domain,newmansimpsons.com,0,0,0,unknown,,,
domain,newrecalluser.com,0,0,0,unknown,,,
domain,newttech-sys.com,0,0,0,unknown,,,
domain,nfnoffice.com,0,0,0,unknown,,,
domain,nkccpa.com,0,0,0,unknown,,,
domain,nlmeks.com,0,0,0,unknown,,,
domain,nmed-lab.com,0,0,0,unknown,,,
domain,nordicstrustee.com,0,0,0,unknown,,,
domain,northvolts.com,0,0,0,unknown,,,
domain,nutritionadvisors.org,0,0,0,unknown,,,
domain,ny-vee.co,0,0,0,unknown,,,
domain,oauth7.com,0,0,0,unknown,,,
domain,ofccuu.com,0,0,0,unknown,,,
domain,officefilest.com,0,0,0,unknown,,,
domain,officeoutteamworkstation.com,0,0,0,unknown,,,
domain,offilincom.com,0,0,0,unknown,,,
domain,offjkhgvc.com,0,0,0,unknown,,,
domain,offwmi.com,0,0,0,unknown,,,
domain,on8pb2.codesandbox.io,0,0,0,unknown,,,
domain,oniline-mics.com,0,0,0,unknown,,,
domain,onlineoffce.com,0,0,0,unknown,,,
domain,onlinservices.club,0,0,0,unknown,,,
domain,onsettingsdav.com,0,0,0,unknown,,,
domain,ophoustons.com,0,0,0,unknown,,,
domain,oreqonaero.com,0,0,0,unknown,,,
domain,os1connect.com,0,0,0,unknown,,,
domain,oslappy.com,0,0,0,unknown,,,
domain,oufcv.com,0,0,0,unknown,,,
domain,ourin.xyz,0,0,0,unknown,,,
domain,outlookfilesauthentication.com,0,0,0,unknown,,,
domain,ovfcv.com,0,0,0,unknown,,,
domain,owlautoai.com,0,0,0,unknown,,,
domain,owlwarrantyai.com,0,0,0,unknown,,,
domain,oxtelidi.com,0,0,0,unknown,,,
domain,paccommtg.com,0,0,0,unknown,,,
domain,paceqallery.com,0,0,0,unknown,,,
domain,paksolvtionsusa.com,0,0,0,unknown,,,
domain,palcogenerator.com,0,0,0,unknown,,,
domain,pars-org.com,0,0,0,unknown,,,
domain,passportinc-onlinecom.com,0,0,0,unknown,,,
domain,password00verification385518485.com,0,0,0,unknown,,,
domain,password0verify6767971208.com,0,0,0,unknown,,,
domain,pathwavscu.com,0,0,0,unknown,,,
domain,patterrnenergy.com,0,0,0,unknown,,,
domain,pbiapp.com,0,0,0,unknown,,,
domain,pc292i.codesandbox.io,0,0,0,unknown,,,
domain,pelladrect.com,0,0,0,unknown,,,
domain,pepslco.com,0,0,0,unknown,,,
domain,perfectsmile-dcntal.com,0,0,0,unknown,,,
domain,perkinlawtx.com,0,0,0,unknown,,,
domain,permobill.com,0,0,0,unknown,,,
domain,pflzer.co,0,0,0,unknown,,,
domain,pheniexnt.com,0,0,0,unknown,,,
domain,pilarcu.com,0,0,0,unknown,,,
domain,pjoumm.codesandbox.io,0,0,0,unknown,,,
domain,playboyhouse.xyz,0,0,0,unknown,,,
domain,playersoft.co,0,0,0,unknown,,,
domain,poetape.com,0,0,0,unknown,,,
domain,poiu767678i89p98o7o98po9p7p67p7op654re.com,0,0,0,unknown,,,
domain,portalquery-expirynotice.com,0,0,0,unknown,,,
domain,portalresolve-reminder.com,0,0,0,unknown,,,
domain,portconnfcuu.com,0,0,0,unknown,,,
domain,povndmgt.com,0,0,0,unknown,,,
domain,pqkkwkkskdjqwpokhjqoqpqpakqpqiwqqpqowqpwooq.com,0,0,0,unknown,,,
domain,preferred-properties.info,0,0,0,unknown,,,
domain,pressin.xyz,0,0,0,unknown,,,
domain,pretressservices.com,0,0,0,unknown,,,
domain,priaso.com,0,0,0,unknown,,,
domain,primwests.com,0,0,0,unknown,,,
domain,project-scop.com,0,0,0,unknown,,,
domain,project-scop.live,0,0,0,unknown,,,
domain,psscontractor.com,0,0,0,unknown,,,
domain,qsummary.online,0,0,0,unknown,,,
domain,quintadapraiaverde.com,0,0,0,unknown,,,
domain,quzqvm.codesandbox.io,0,0,0,unknown,,,
domain,qwlckrate.com,0,0,0,unknown,,,
domain,r4services.org,0,0,0,unknown,,,
domain,radsotek.com,0,0,0,unknown,,,
domain,railsone-usa.com,0,0,0,unknown,,,
domain,ramsmtgcaps.com,0,0,0,unknown,,,
domain,ranndlog.com,0,0,0,unknown,,,
domain,raptrotech.com,0,0,0,unknown,,,
domain,rchrsc.com,0,0,0,unknown,,,
domain,reddinc.org,0,0,0,unknown,,,
domain,reidterrasolution.com,0,0,0,unknown,,,
domain,riuyimachine.com,0,0,0,unknown,,,
domain,rmcdmcc.com,0,0,0,unknown,,,
domain,rn8hs6.codesandbox.io,0,0,0,unknown,,,
domain,rnechcollc.com,0,0,0,unknown,,,
domain,rodlncoinc.com,0,0,0,unknown,,,
domain,ructioninc.com,0,0,0,unknown,,,
domain,sablepw.top,0,0,0,unknown,,,
domain,safelinks.online,0,0,0,unknown,,,
domain,saicorp.co,0,0,0,unknown,,,
domain,salesforcie.com,0,0,0,unknown,,,
domain,sancoent.org,0,0,0,unknown,,,
domain,sbvdjhsadbvjfrkuvfbhdhd.com,0,0,0,unknown,,,
domain,scbhubonc.co,0,0,0,unknown,,,
domain,secrelogrussmake.com,0,0,0,unknown,,,
domain,sembmarine-online.com,0,0,0,unknown,,,
domain,seneca-report.com,0,0,0,unknown,,,
domain,serviceproviderrs.com,0,0,0,unknown,,,
domain,servicewebofficeindex361loginemail.online,0,0,0,unknown,,,
domain,settings0365.com,0,0,0,unknown,,,
domain,shapshap22.com,0,0,0,unknown,,,
domain,share-access-notifications.com,0,0,0,unknown,,,
domain,sharepoint-access-notifications.com,0,0,0,unknown,,,
domain,shdjfbfjfskjdfyfgngjgjg.com,0,0,0,unknown,,,
domain,shelils.com,0,0,0,unknown,,,
domain,shenoeup.com,0,0,0,unknown,,,
domain,siemens-energv.com,0,0,0,unknown,,,
domain,siktadmog.com,0,0,0,unknown,,,
domain,single-temps.com,0,0,0,unknown,,,
domain,situationintarective.com,0,0,0,unknown,,,
domain,sixspartnerrs.com,0,0,0,unknown,,,
domain,sjsjsjsjsjsjsjsssjsj.club,0,0,0,unknown,,,
domain,sjtug9.codesandbox.io,0,0,0,unknown,,,
domain,slakdkslpeop.com,0,0,0,unknown,,,
domain,somaloglc.org,0,0,0,unknown,,,
domain,spcc-toledo.net,0,0,0,unknown,,,
domain,sproquela.com,0,0,0,unknown,,,
domain,sroauth.xyz,0,0,0,unknown,,,
domain,ssosignons356.com,0,0,0,unknown,,,
domain,stablematerials.com,0,0,0,unknown,,,
domain,stanepp.org,0,0,0,unknown,,,
domain,steelwrists.com,0,0,0,unknown,,,
domain,stenfordedu.com,0,0,0,unknown,,,
domain,stocksfroozen.xyz,0,0,0,unknown,,,
domain,stonecastlepartnerrs.com,0,0,0,unknown,,,
domain,styguhidsyhuidsyzuhids7husd78xds7zx8ds7zx89jids.com,0,0,0,unknown,,,
domain,subsiquent-protection.xyz,0,0,0,unknown,,,
domain,substentialsecurepron.xyz,0,0,0,unknown,,,
domain,sumiy0shi.com,0,0,0,unknown,,,
domain,swesreport.com,0,0,0,unknown,,,
domain,sxhygdhsg.co,0,0,0,unknown,,,
domain,synergipartnars.com,0,0,0,unknown,,,
domain,sysvamps.com,0,0,0,unknown,,,
domain,tahoebiltmore.org,0,0,0,unknown,,,
domain,tankequipments.com,0,0,0,unknown,,,
domain,temcopi.com,0,0,0,unknown,,,
domain,teremilazer.com,0,0,0,unknown,,,
domain,terminalvfest.co.uk,0,0,0,unknown,,,
domain,terracon-report.com,0,0,0,unknown,,,
domain,terryappraisalsgroup.com,0,0,0,unknown,,,
domain,texantitle-report.com,0,0,0,unknown,,,
domain,theeveristco.com,0,0,0,unknown,,,
domain,thejyygroup.com,0,0,0,unknown,,,
domain,themaplob.com,0,0,0,unknown,,,
domain,thereportbot.com,0,0,0,unknown,,,
domain,tigoenergym1crosoft-passwd.com,0,0,0,unknown,,,
domain,tmasites.co.uk,0,0,0,unknown,,,
domain,tmhfcv.org,0,0,0,unknown,,,
domain,tonic-collective.live,0,0,0,unknown,,,
domain,tri-iinc.net,0,0,0,unknown,,,
domain,triboro-fcv.org,0,0,0,unknown,,,
domain,truebjj.com,0,0,0,unknown,,,
domain,tuemereliaz.com,0,0,0,unknown,,,
domain,tz29yo.codesandbox.io,0,0,0,unknown,,,
domain,u2xyhg.codesandbox.io,0,0,0,unknown,,,
domain,ud8sa.com,0,0,0,unknown,,,
domain,ulakhaberlesme-online.com,0,0,0,unknown,,,
domain,unidinex.com,0,0,0,unknown,,,
domain,uniltedrental.com,0,0,0,unknown,,,
domain,unionblz.org,0,0,0,unknown,,,
domain,unltedrental.com,0,0,0,unknown,,,
domain,urbantrustscapital.com,0,0,0,unknown,,,
domain,urw-us.com,0,0,0,unknown,,,
domain,ushinsk.com,0,0,0,unknown,,,
domain,uswurskland.com,0,0,0,unknown,,,
domain,utpostra.com,0,0,0,unknown,,,
domain,uueb837en.com,0,0,0,unknown,,,
domain,uzomafoundation.com,0,0,0,unknown,,,
domain,valentern.com,0,0,0,unknown,,,
domain,vectaenvironml.xyz,0,0,0,unknown,,,
domain,venovoice.online,0,0,0,unknown,,,
domain,ventiott.com,0,0,0,unknown,,,
domain,vesonn.com,0,0,0,unknown,,,
domain,vicetelejhgvfhj.com,0,0,0,unknown,,,
